CATEGORY_ID,CATEGORY_NAME,DESCRIPTION
1,CATEGORY_1,Description for category 1
2,CATEGORY_2,Description for category 2
3,CATEGORY_3,Description for category 3
4,CATEGORY_4,Description for category 4
5,CATEGORY_5,Description for category 5
6,CATEGORY_6,Description for category 6
7,CATEGORY_7,Description for category 7
8,CATEGORY_8,Description for category 8
9,CATEGORY_9,Description for category 9
10,CATEGORY_10,Description for category 10
11,CATEGORY_11,Description for category 11
12,CATEGORY_12,Description for category 12
13,CATEGORY_13,Description for category 13
14,CATEGORY_14,Description for category 14
15,CATEGORY_15,Description for category 15
16,CATEGORY_16,Description for category 16
17,CATEGORY_17,Description for category 17
18,CATEGORY_18,Description for category 18
19,CATEGORY_19,Description for category 19
20,CATEGORY_20,Description for category 20
