ORDER_ITEM_ID,ORDER_ID,PRODUCT_ID,QUANTITY,UNIT_PRICE
1,2,2,2,103.17
2,3,3,3,456.32
3,4,4,4,199.17
4,5,5,5,14.22
5,6,6,1,358.65
6,7,7,2,420.24
7,8,8,3,172.99
8,9,9,4,314.38
9,10,10,5,444.81
10,11,11,1,61.35
11,12,12,2,80.75
12,13,13,3,404.55
13,14,14,4,143.88
14,15,15,5,252.92
15,16,16,1,11.42
16,17,17,2,443.12
17,18,18,3,192.78
18,19,19,4,273.75
19,20,20,5,277.29
20,21,21,1,46.77
21,22,22,2,161.24
22,23,23,3,131.57
23,24,24,4,20.68
24,25,25,5,449.97
25,26,26,1,81.06
26,27,27,2,331.46
27,28,28,3,484.44
28,29,29,4,176.36
29,30,30,5,415.53
30,31,31,1,182.10
31,32,32,2,203.69
32,33,33,3,54.45
33,34,34,4,93.67
34,35,35,5,367.65
35,36,36,1,267.48
36,37,37,2,275.64
37,38,38,3,253.20
38,39,39,4,132.81
39,40,40,5,200.31
40,41,41,1,212.27
41,42,42,2,198.53
42,43,43,3,220.96
43,44,44,4,261.07
44,45,45,5,301.00
45,46,46,1,343.77
46,47,47,2,172.19
47,48,48,3,487.98
48,49,49,4,306.01
49,50,50,5,299.36
50,51,51,1,482.05
51,52,52,2,315.02
52,53,53,3,399.82
53,54,54,4,439.46
54,55,55,5,361.86
55,56,56,1,25.34
56,57,57,2,174.23
57,58,58,3,287.79
58,59,59,4,183.61
59,60,60,5,180.57
60,61,61,1,274.18
61,62,62,2,102.34
62,63,63,3,366.68
63,64,64,4,358.83
64,65,65,5,38.47
65,66,66,1,419.00
66,67,67,2,338.23
67,68,68,3,180.19
68,69,69,4,387.08
69,70,70,5,375.73
70,71,71,1,201.73
71,72,72,2,155.39
72,73,73,3,381.32
73,74,74,4,484.71
74,75,75,5,38.36
75,76,76,1,337.78
76,77,77,2,495.02
77,78,78,3,293.76
78,79,79,4,498.66
79,80,80,5,255.98
80,81,81,1,370.43
81,82,82,2,313.52
82,83,83,3,299.46
83,84,84,4,76.17
84,85,85,5,354.99
85,86,86,1,43.96
86,87,87,2,219.03
87,88,88,3,218.68
88,89,89,4,371.45
89,90,90,5,51.26
90,91,91,1,438.05
91,92,92,2,49.82
92,93,93,3,345.54
93,94,94,4,489.49
94,95,95,5,59.14
95,96,96,1,240.75
96,97,97,2,117.53
97,98,98,3,59.19
98,99,99,4,431.26
99,100,100,5,188.08
100,101,101,1,219.50
101,102,102,2,363.92
102,103,103,3,143.38
103,104,104,4,187.33
104,105,105,5,284.07
105,106,106,1,20.41
106,107,107,2,152.80
107,108,108,3,394.83
108,109,109,4,233.22
109,110,110,5,360.52
110,111,111,1,271.32
111,112,112,2,44.65
112,113,113,3,101.30
113,114,114,4,473.07
114,115,115,5,246.75
115,116,116,1,129.18
116,117,117,2,136.30
117,118,118,3,85.71
118,119,119,4,77.51
119,120,120,5,399.93
120,121,121,1,460.26
121,122,122,2,276.28
122,123,123,3,220.02
123,124,124,4,232.62
124,125,125,5,365.22
125,126,126,1,250.87
126,127,127,2,386.14
127,128,128,3,488.85
128,129,129,4,43.90
129,130,130,5,459.62
130,131,131,1,25.86
131,132,132,2,214.52
132,133,133,3,157.68
133,134,134,4,142.04
134,135,135,5,433.31
135,136,136,1,154.50
136,137,137,2,323.93
137,138,138,3,442.26
138,139,139,4,461.01
139,140,140,5,88.21
140,141,141,1,394.48
141,142,142,2,480.36
142,143,143,3,253.33
143,144,144,4,462.76
144,145,145,5,24.33
145,146,146,1,184.80
146,147,147,2,169.00
147,148,148,3,471.84
148,149,149,4,75.20
149,150,150,5,126.64
150,151,151,1,140.67
151,152,152,2,77.79
152,153,153,3,325.47
153,154,154,4,151.28
154,155,155,5,410.71
155,156,156,1,84.73
156,157,157,2,114.79
157,158,158,3,29.51
158,159,159,4,176.18
159,160,160,5,317.97
160,161,161,1,470.03
161,162,162,2,168.66
162,163,163,3,109.35
163,164,164,4,380.89
164,165,165,5,492.56
165,166,166,1,204.63
166,167,167,2,189.15
167,168,168,3,415.24
168,169,169,4,415.33
169,170,170,5,207.75
170,171,171,1,207.39
171,172,172,2,30.78
172,173,173,3,66.07
173,174,174,4,320.84
174,175,175,5,362.68
175,176,176,1,474.59
176,177,177,2,451.08
177,178,178,3,379.01
178,179,179,4,204.46
179,180,180,5,430.42
180,181,181,1,367.51
181,182,182,2,26.81
182,183,183,3,66.64
183,184,184,4,359.37
184,185,185,5,110.90
185,186,186,1,426.57
186,187,187,2,289.25
187,188,188,3,262.46
188,189,189,4,161.55
189,190,190,5,109.49
190,191,191,1,462.46
191,192,192,2,293.97
192,193,193,3,110.92
193,194,194,4,70.36
194,195,195,5,459.11
195,196,196,1,387.03
196,197,197,2,184.99
197,198,198,3,432.48
198,199,199,4,377.99
199,200,200,5,429.66
200,201,1,1,382.56
