ORDER_ID,CUSTOMER_ID,ORDER_DATE,TOTAL_AMOUNT,DISCOUNT_AMOUNT,TAX_AMOUNT,STATUS,CREATED_AT
1,2,2025-02-17,0,22.85,16.78,COMPLETED,2025-08-11 04:12:42.0
2,3,2025-10-21,0,30.21,26,COMPLETED,2025-05-25 11:06:26.0
3,4,2025-09-12,0,26.08,20.51,COMPLETED,2025-08-05 09:38:32.0
4,5,2025-04-30,0,39.34,24.74,COMPLETED,2025-07-05 13:10:20.0
5,6,2025-03-20,0,6.77,5.41,PENDING,2025-07-30 21:00:43.0
6,7,2025-12-12,0,35.33,26.45,COMPLETED,2025-12-11 11:18:47.0
7,8,2025-09-23,0,12.96,3.61,COMPLETED,2025-12-30 01:49:20.0
8,9,2025-02-28,0,10.07,18.91,COMPLETED,2025-01-15 03:04:50.0
9,10,2025-12-05,0,36.28,21.86,COMPLETED,2025-02-02 15:34:08.0
10,11,2025-08-28,0,27.23,21.44,CANCELLED,2025-11-01 09:04:23.0
11,12,2025-10-03,0,36.71,1.33,COMPLETED,2025-12-15 23:52:21.0
12,13,2025-04-20,0,49.13,8.15,COMPLETED,2025-05-25 21:50:00.0
13,14,2025-11-29,0,27.49,12.83,COMPLETED,2025-09-10 01:07:02.0
14,15,2025-11-09,0,47.46,29.96,COMPLETED,2025-10-28 13:30:14.0
15,16,2025-06-17,0,33.53,14.36,PENDING,2025-12-06 16:47:26.0
16,17,2025-05-12,0,26.58,19.36,COMPLETED,2025-08-04 16:03:29.0
17,18,2025-11-13,0,22.63,12.15,COMPLETED,2025-12-13 05:10:15.0
18,19,2025-10-10,0,28.55,21.96,COMPLETED,2025-12-09 03:24:40.0
19,20,2025-04-16,0,12.35,16.39,COMPLETED,2025-03-20 03:23:21.0
20,21,2025-05-19,0,10.58,22,CANCELLED,2025-08-10 13:55:37.0
21,22,2025-05-11,0,27.41,11.98,COMPLETED,2025-12-25 14:49:12.0
22,23,2025-12-23,0,32.74,6.92,COMPLETED,2025-05-10 09:27:05.0
23,24,2025-09-14,0,13.1,2.33,COMPLETED,2025-12-25 16:13:05.0
24,25,2025-01-23,0,20.2,19.56,COMPLETED,2025-08-05 09:58:32.0
25,26,2025-12-08,0,22.81,5.6,PENDING,2025-01-16 19:03:03.0
26,27,2025-07-13,0,48.61,22.19,COMPLETED,2025-03-03 22:45:31.0
27,28,2025-05-16,0,47.23,5.69,COMPLETED,2025-03-16 06:04:12.0
28,29,2025-12-18,0,37.53,19.39,COMPLETED,2025-10-13 09:43:38.0
29,30,2025-11-25,0,42.78,5.36,COMPLETED,2025-04-22 04:24:30.0
30,31,2025-12-08,0,42.67,4.5,CANCELLED,2025-07-17 05:37:10.0
31,32,2025-06-18,0,24.36,4.83,COMPLETED,2025-10-20 11:19:02.0
32,33,2025-03-05,0,21.32,16.49,COMPLETED,2025-03-12 14:07:07.0
33,34,2025-06-22,0,36.02,24.51,COMPLETED,2025-11-15 16:45:58.0
34,35,2025-12-09,0,25.47,9.4,COMPLETED,2025-09-10 17:50:17.0
35,36,2025-08-06,0,29.31,26.5,PENDING,2025-11-28 11:14:17.0
36,37,2025-09-10,0,42.73,27.94,COMPLETED,2025-07-28 17:41:00.0
37,38,2026-01-05,0,13.82,23.56,COMPLETED,2025-12-18 03:59:23.0
38,39,2025-11-09,0,39.23,28.04,COMPLETED,2025-05-14 04:44:35.0
39,40,2025-03-17,0,18.09,7.43,COMPLETED,2025-09-01 13:34:23.0
40,41,2025-09-13,0,16.92,21.43,CANCELLED,2025-10-23 12:51:31.0
41,42,2025-05-28,0,48.75,29.68,COMPLETED,2025-11-15 01:40:37.0
42,43,2025-11-08,0,46.58,18.12,COMPLETED,2025-06-19 15:09:45.0
43,44,2025-08-27,0,6.34,25.73,COMPLETED,2025-08-07 00:09:14.0
44,45,2025-05-11,0,7.24,28.65,COMPLETED,2025-06-11 04:31:12.0
45,46,2025-05-29,0,45.95,9.71,PENDING,2025-12-30 10:21:31.0
46,47,2025-11-28,0,25.99,15.76,COMPLETED,2025-08-25 07:47:11.0
47,48,2025-01-20,0,6.46,16.2,COMPLETED,2025-08-10 21:08:25.0
48,49,2025-04-25,0,49.74,17.31,COMPLETED,2025-12-20 02:37:16.0
49,50,2025-07-09,0,44.09,9.24,COMPLETED,2025-07-08 05:20:02.0
50,51,2025-04-10,0,28.37,1.85,CANCELLED,2025-08-20 01:28:58.0
51,52,2025-10-22,0,33.37,15.65,COMPLETED,2025-03-09 00:20:40.0
52,53,2025-03-23,0,44.85,8.54,COMPLETED,2025-07-31 22:39:30.0
53,54,2025-10-31,0,28.5,12.63,COMPLETED,2025-07-30 20:04:19.0
54,55,2025-04-21,0,14.6,18.62,COMPLETED,2025-06-05 04:11:22.0
55,56,2026-01-10,0,28.09,17.97,PENDING,2025-02-19 20:03:16.0
56,57,2025-02-12,0,11.87,19.34,COMPLETED,2025-02-21 15:46:23.0
57,58,2025-02-19,0,11.16,28.63,COMPLETED,2025-08-06 03:52:55.0
58,59,2025-06-19,0,49.21,29.74,COMPLETED,2025-03-08 10:58:23.0
59,60,2025-06-29,0,41.24,26.7,COMPLETED,2025-02-06 14:18:31.0
60,61,2025-09-06,0,39.59,25.28,CANCELLED,2025-11-07 13:46:11.0
61,62,2025-06-24,0,46.63,26.52,COMPLETED,2025-08-01 09:35:47.0
62,63,2025-10-28,0,12.65,20.5,COMPLETED,2025-07-08 07:06:30.0
63,64,2025-08-26,0,44.13,13.03,COMPLETED,2025-05-09 18:46:24.0
64,65,2025-05-12,0,34.78,9.47,COMPLETED,2025-11-28 09:39:34.0
65,66,2025-04-08,0,25.59,9.35,PENDING,2025-08-27 07:43:23.0
66,67,2025-03-02,0,16.29,9.81,COMPLETED,2025-04-17 15:41:53.0
67,68,2025-09-15,0,17.92,12.28,COMPLETED,2025-12-13 04:27:16.0
68,69,2025-01-20,0,25.01,23.89,COMPLETED,2025-06-22 23:11:59.0
69,70,2025-08-05,0,25.93,11.1,COMPLETED,2025-11-27 15:56:36.0
70,71,2025-09-17,0,18.72,12.87,CANCELLED,2025-10-02 14:05:27.0
71,72,2026-01-10,0,21.53,4.43,COMPLETED,2025-10-16 17:23:59.0
72,73,2025-05-22,0,17.74,29.29,COMPLETED,2025-09-22 12:05:04.0
73,74,2025-10-08,0,12.83,10.09,COMPLETED,2025-10-24 07:53:19.0
74,75,2026-01-05,0,11.34,27.75,COMPLETED,2025-02-25 08:34:18.0
75,76,2025-10-27,0,17.1,16.49,PENDING,2025-11-04 10:07:42.0
76,77,2025-06-02,0,25.76,3.21,COMPLETED,2025-03-20 01:18:40.0
77,78,2025-09-12,0,39.33,24.39,COMPLETED,2025-01-15 11:34:16.0
78,79,2025-01-25,0,36.56,12.71,COMPLETED,2025-04-05 22:05:24.0
79,80,2025-03-18,0,23.28,19,COMPLETED,2025-07-09 22:47:15.0
80,81,2025-07-02,0,17.58,2.42,CANCELLED,2025-06-11 11:10:15.0
81,82,2025-07-28,0,36.6,9.8,COMPLETED,2026-01-11 20:13:04.0
82,83,2025-06-13,0,37.02,13.8,COMPLETED,2025-05-20 17:18:56.0
83,84,2025-04-20,0,44.7,10.15,COMPLETED,2025-02-05 08:59:48.0
84,85,2025-04-08,0,26.85,3.9,COMPLETED,2025-09-10 09:01:04.0
85,86,2025-11-26,0,46.61,7.83,PENDING,2025-06-04 02:57:52.0
86,87,2025-01-19,0,22.08,3.36,COMPLETED,2025-12-11 10:33:10.0
87,88,2025-06-15,0,47.04,22.25,COMPLETED,2025-06-24 22:52:43.0
88,89,2025-08-12,0,48.71,14.72,COMPLETED,2025-05-12 07:25:59.0
89,90,2025-01-24,0,42.69,6.56,COMPLETED,2025-10-31 14:33:31.0
90,91,2025-11-10,0,28.29,14.64,CANCELLED,2025-12-18 12:20:48.0
91,92,2025-05-22,0,10.5,28.02,COMPLETED,2025-04-20 17:33:02.0
92,93,2025-11-05,0,27.67,4.32,COMPLETED,2025-01-29 19:23:10.0
93,94,2025-09-14,0,43.54,4.58,COMPLETED,2025-07-07 18:53:01.0
94,95,2025-05-17,0,10.86,20.69,COMPLETED,2025-12-28 08:20:16.0
