PRODUCT_ID,PRODUCT_NAME,CATEGORY_ID,UNIT_PRICE,STATUS,CREATED_DATE
1,PRODUCT_1,2,427.15,ACTIVE,2025-09-20
2,PRODUCT_2,3,101.11,ACTIVE,2025-06-24
3,PRODUCT_3,4,95.39,ACTIVE,2026-01-07
4,PRODUCT_4,5,428.58,ACTIVE,2025-02-27
5,PRODUCT_5,6,218.97,ACTIVE,2025-08-18
6,PRODUCT_6,7,196.69,ACTIVE,2026-01-01
7,PRODUCT_7,8,367.73,ACTIVE,2025-02-17
8,PRODUCT_8,9,364.15,ACTIVE,2025-07-01
9,PRODUCT_9,10,208.8,ACTIVE,2025-12-04
10,PRODUCT_10,11,230.33,INACTIVE,2026-01-01
11,PRODUCT_11,12,393.5,ACTIVE,2025-09-09
12,PRODUCT_12,13,163.95,ACTIVE,2025-11-21
13,PRODUCT_13,14,75.72,ACTIVE,2025-01-24
14,PRODUCT_14,15,499.66,ACTIVE,2025-09-17
15,PRODUCT_15,16,241.6,ACTIVE,2025-07-14
16,PRODUCT_16,17,161.36,ACTIVE,2025-05-15
17,PRODUCT_17,18,262.89,ACTIVE,2025-11-14
18,PRODUCT_18,19,218.8,ACTIVE,2025-02-28
19,PRODUCT_19,20,235.33,ACTIVE,2025-12-06
20,PRODUCT_20,1,273.3,INACTIVE,2025-02-23
21,PRODUCT_21,2,217.94,ACTIVE,2025-08-23
22,PRODUCT_22,3,223.13,ACTIVE,2025-11-14
23,PRODUCT_23,4,142.96,ACTIVE,2025-10-20
24,PRODUCT_24,5,122.64,ACTIVE,2025-01-18
25,PRODUCT_25,6,336.88,ACTIVE,2025-06-25
26,PRODUCT_26,7,245.47,ACTIVE,2025-02-13
27,PRODUCT_27,8,346.35,ACTIVE,2025-11-16
28,PRODUCT_28,9,199.01,ACTIVE,2025-01-18
29,PRODUCT_29,10,147.8,ACTIVE,2025-11-06
30,PRODUCT_30,11,439.94,INACTIVE,2025-05-22
31,PRODUCT_31,12,262.14,ACTIVE,2025-11-14
32,PRODUCT_32,13,275.02,ACTIVE,2025-02-03
33,PRODUCT_33,14,287.47,ACTIVE,2025-03-24
34,PRODUCT_34,15,452.61,ACTIVE,2025-11-04
35,PRODUCT_35,16,13.23,ACTIVE,2025-10-09
36,PRODUCT_36,17,218.14,ACTIVE,2025-03-16
37,PRODUCT_37,18,253.72,ACTIVE,2025-02-24
38,PRODUCT_38,19,104.58,ACTIVE,2025-12-23
39,PRODUCT_39,20,291.39,ACTIVE,2025-06-28
40,PRODUCT_40,1,72.6,INACTIVE,2025-03-26
41,PRODUCT_41,2,265.63,ACTIVE,2025-07-21
42,PRODUCT_42,3,125.6,ACTIVE,2025-11-15
43,PRODUCT_43,4,331.92,ACTIVE,2025-05-04
44,PRODUCT_44,5,328.05,ACTIVE,2025-03-28
45,PRODUCT_45,6,180.65,ACTIVE,2025-09-24
46,PRODUCT_46,7,264.9,ACTIVE,2025-01-22
47,PRODUCT_47,8,139.88,ACTIVE,2025-12-15
48,PRODUCT_48,9,417.31,ACTIVE,2025-01-16
49,PRODUCT_49,10,106.34,ACTIVE,2025-09-11
50,PRODUCT_50,11,182.82,INACTIVE,2025-10-03
51,PRODUCT_51,12,250.21,ACTIVE,2025-05-19
52,PRODUCT_52,13,409.33,ACTIVE,2025-11-13
53,PRODUCT_53,14,224.25,ACTIVE,2025-05-12
54,PRODUCT_54,15,484.47,ACTIVE,2025-10-09
55,PRODUCT_55,16,352.89,ACTIVE,2025-07-09
56,PRODUCT_56,17,395.48,ACTIVE,2025-03-26
57,PRODUCT_57,18,335.89,ACTIVE,2025-12-02
58,PRODUCT_58,19,404.94,ACTIVE,2025-11-11
59,PRODUCT_59,20,430.31,ACTIVE,2025-11-04
60,PRODUCT_60,1,372.54,INACTIVE,2025-02-13
61,PRODUCT_61,2,64.23,ACTIVE,2025-08-11
62,PRODUCT_62,3,90.54,ACTIVE,2025-10-05
63,PRODUCT_63,4,175.77,ACTIVE,2025-10-11
64,PRODUCT_64,5,412.13,ACTIVE,2025-05-04
65,PRODUCT_65,6,119.2,ACTIVE,2025-06-27
66,PRODUCT_66,7,172.66,ACTIVE,2025-12-20
67,PRODUCT_67,8,107.36,ACTIVE,2025-02-03
68,PRODUCT_68,9,483.2,ACTIVE,2025-01-28
69,PRODUCT_69,10,85.18,ACTIVE,2025-10-30
70,PRODUCT_70,11,215.69,INACTIVE,2025-09-04
71,PRODUCT_71,12,111.99,ACTIVE,2025-08-06
72,PRODUCT_72,13,304.12,ACTIVE,2026-01-07
73,PRODUCT_73,14,214.28,ACTIVE,2025-09-15
74,PRODUCT_74,15,81.54,ACTIVE,2025-11-28
75,PRODUCT_75,16,141.39,ACTIVE,2025-06-18
76,PRODUCT_76,17,453.52,ACTIVE,2025-09-22
77,PRODUCT_77,18,383.26,ACTIVE,2025-07-08
78,PRODUCT_78,19,279.29,ACTIVE,2025-03-16
79,PRODUCT_79,20,456.22,ACTIVE,2025-05-26
80,PRODUCT_80,1,430.65,INACTIVE,2025-05-17
81,PRODUCT_81,2,117.45,ACTIVE,2025-09-25
82,PRODUCT_82,3,169.33,ACTIVE,2025-02-19
83,PRODUCT_83,4,233.55,ACTIVE,2025-04-13
84,PRODUCT_84,5,383.31,ACTIVE,2025-03-20
85,PRODUCT_85,6,165.61,ACTIVE,2025-10-22
86,PRODUCT_86,7,268.88,ACTIVE,2025-12-19
87,PRODUCT_87,8,316.6,ACTIVE,2025-09-10
88,PRODUCT_88,9,464.66,ACTIVE,2025-07-04
89,PRODUCT_89,10,377.36,ACTIVE,2025-09-21
90,PRODUCT_90,11,203.29,INACTIVE,2025-06-05
91,PRODUCT_91,12,415.3,ACTIVE,2025-04-23
92,PRODUCT_92,13,10.63,ACTIVE,2025-01-19
93,PRODUCT_93,14,40.75,ACTIVE,2025-02-25
94,PRODUCT_94,15,447.57,ACTIVE,2025-12-03
95,PRODUCT_95,16,293.39,ACTIVE,2025-03-18
96,PRODUCT_96,17,313.33,ACTIVE,2025-08-29
97,PRODUCT_97,18,257.2,ACTIVE,2025-04-16
98,PRODUCT_98,19,135.06,ACTIVE,2025-05-15
99,PRODUCT_99,20,102.22,ACTIVE,2025-09-02
100,PRODUCT_100,1,417.61,INACTIVE,2025-04-20
101,PRODUCT_101,2,280.47,ACTIVE,2025-05-12
102,PRODUCT_102,3,102.48,ACTIVE,2025-02-21
103,PRODUCT_103,4,456.51,ACTIVE,2025-03-15
104,PRODUCT_104,5,419.09,ACTIVE,2025-07-10
105,PRODUCT_105,6,415.44,ACTIVE,2025-02-02
106,PRODUCT_106,7,223.13,ACTIVE,2025-04-18
107,PRODUCT_107,8,187.11,ACTIVE,2025-03-05
108,PRODUCT_108,9,325.91,ACTIVE,2025-10-01
109,PRODUCT_109,10,99.08,ACTIVE,2025-10-25
110,PRODUCT_110,11,13.83,INACTIVE,2025-12-30
111,PRODUCT_111,12,292.54,ACTIVE,2025-08-26
112,PRODUCT_112,13,103.7,ACTIVE,2025-03-19
113,PRODUCT_113,14,485.66,ACTIVE,2025-04-02
114,PRODUCT_114,15,367.84,ACTIVE,2025-03-22
115,PRODUCT_115,16,354.09,ACTIVE,2025-04-10
116,PRODUCT_116,17,138.41,ACTIVE,2025-09-24
117,PRODUCT_117,18,492.51,ACTIVE,2025-06-14
118,PRODUCT_118,19,255.14,ACTIVE,2025-04-18
119,PRODUCT_119,20,283.83,ACTIVE,2025-03-14
120,PRODUCT_120,1,253.07,INACTIVE,2025-02-22
121,PRODUCT_121,2,414.53,ACTIVE,2025-09-15
122,PRODUCT_122,3,425.1,ACTIVE,2025-02-04
123,PRODUCT_123,4,345.14,ACTIVE,2025-10-08
124,PRODUCT_124,5,330.84,ACTIVE,2025-05-07
125,PRODUCT_125,6,481.92,ACTIVE,2025-10-08
126,PRODUCT_126,7,352.48,ACTIVE,2025-04-09
127,PRODUCT_127,8,374.08,ACTIVE,2026-01-04
128,PRODUCT_128,9,282.71,ACTIVE,2025-07-06
129,PRODUCT_129,10,234.36,ACTIVE,2025-02-11
130,PRODUCT_130,11,356.8,INACTIVE,2025-06-03
131,PRODUCT_131,12,300.45,ACTIVE,2025-12-08
132,PRODUCT_132,13,408.44,ACTIVE,2025-03-22
133,PRODUCT_133,14,268.34,ACTIVE,2025-02-06
134,PRODUCT_134,15,243.33,ACTIVE,2025-02-11
135,PRODUCT_135,16,351,ACTIVE,2025-11-22
136,PRODUCT_136,17,94.4,ACTIVE,2026-01-09
137,PRODUCT_137,18,277.59,ACTIVE,2025-03-07
138,PRODUCT_138,19,487.44,ACTIVE,2025-10-09
139,PRODUCT_139,20,325.89,ACTIVE,2025-03-10
140,PRODUCT_140,1,259.09,INACTIVE,2025-02-06
141,PRODUCT_141,2,32.83,ACTIVE,2025-08-09
142,PRODUCT_142,3,293.57,ACTIVE,2025-08-03
143,PRODUCT_143,4,393.58,ACTIVE,2025-03-20
144,PRODUCT_144,5,413.96,ACTIVE,2025-08-04
145,PRODUCT_145,6,256.08,ACTIVE,2025-10-28
146,PRODUCT_146,7,182.41,ACTIVE,2025-11-18
147,PRODUCT_147,8,467.21,ACTIVE,2025-09-21
148,PRODUCT_148,9,354.14,ACTIVE,2025-09-06
149,PRODUCT_149,10,138.97,ACTIVE,2025-09-16
150,PRODUCT_150,11,431.45,INACTIVE,2025-08-27
151,PRODUCT_151,12,208.22,ACTIVE,2025-03-17
152,PRODUCT_152,13,349.88,ACTIVE,2025-07-11
153,PRODUCT_153,14,67.82,ACTIVE,2025-05-12
